key;version;w_key;w_wins1v1;w_wins2v2;l_key;l_wins1v1;l_wins2v2;date;notes
281;1.09v3.0;RAKI;4;0;HITMACHINE;3;0;2024-02-06;Hitmachine apparently surrendered after 4-3. (NewMap: Harondor_03_latest.rar)
280;1.09v3.0;AHWE;5;0;OTTO;1;0;2024-02-05;
279;1.09v3.0;ENUMA;5;0;YUSUF;4;0;2024-02-02;
278;1.09v3.0;YUSUF;5;0;URBY;3;0;2024-02-02;
277;1.09v3.0;AHWE;5;0;YUSUF;4;0;2024-02-01;
276;KICK_AND_ADD_AT_10;RAKI;0;0;SAURON;0;0;2024-01-30;Sauron ego wont allow him to play challenges against humans.
275;1.09v3.0;OTTO;5;0;HITMACHINE;0;0;2024-01-30;
274;NO_SCORE_MODE;AHWE;0;0;ECTH;0;0;2024-01-30;Bambi hard dodging.
273;1.09v3.0;ANDY;5;0;OTTO;3;0;2024-01-29;
272;1.09v3.0;OTTO;5;0;ENUMA;3;0;2024-01-28;
271;1.09v3.0;ANDY;5;0;OTTO;3;0;2024-01-25;
270;1.09v3.0;YUSUF;5;0;LOLO;4;0;2024-01-23;
269;1.09v3.0;GANNICUS;5;0;AHWE;3;0;2024-01-22;Why so essay?
268;NO_SCORE_MODE;AHWE;0;0;KURDISH;0;0;2024-01-21;Kurdi dodging
267;NO_SCORE_MODE;LOLO;0;0;KURDISH;0;0;2024-01-21;Kurdi gave away his spot
266;KICK_AND_ADD_AT_10;AHWE;0;0;MISHA;0;0;2024-01-20;Misha is currently not active without will to defend his spot.
265;1.09v3.0;OTTO;3;2;ECTH;2;2;2024-01-20;
264;1.09v3.0;KURDISH;5;0;OTTO;3;0;2024-01-17;
263;1.09v3.0;ANDY;5;0;YUSUF;2;0;2024-01-16;
262;1.09v3.0;ANDY;5;0;OTTO;3;0;2024-01-15;
261;1.09v3.0;OTTO;5;0;RAKI;3;0;2024-01-12;
260;1.09v3.0;ECTH;5;0;OTTO;2;0;2024-01-11;
259;1.09v3.0;ANDY;5;0;OTTO;4;0;2024-01-11;
258;1.09v3.0;ECTH;5;0;GANNICUS;0;0;2024-01-09;
257;1.09v3.0;OTTO;4;0;SHINODA;2;0;2024-01-06;
256;1.09v3b61.3;GANNICUS;5;0;OTTO;4;0;2024-01-04;
255;1.09v3b61.3;YUSUF;5;0;OTTO;4;0;2024-01-03;
254;1.09v3b61.3;OTTO;5;0;ECTH;4;0;2023-12-31;
253;1.09v3b61.3;GANNICUS;5;0;ECTH;1;0;2023-12-30;
252;1.09v3b61.2;ANDY;5;0;OTTO;2;0;2023-12-28;
251;1.09v3b61.2;ECTH;5;0;ANDY;3;0;2023-12-25;
250;1.09v3b61.2;ECTH;5;0;RAKI;0;0;2023-12-24;
249;1.09v3b61.1;OTTO;5;0;ECTH;1;0;2023-12-22;
248;1.09v3b61.1;ANDY;5;0;ECTH;1;0;2023-12-20;
247;1.09v3b61.1;ECTH;5;0;YUSUF;3;0;2023-12-19;Ez
246;1.09v3b61.1;YUSUF;5;0;OTTO;0;0;2023-12-13;why so essay?
245;1.09v3b61.1;ECTH;5;0;OTTO;0;0;2023-12-08;
